Produto/Unidade,Nível de Comercialização,U.F.,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015
ARROZ LONGO FINO BENEFICIADO TIPO 1 (25 kg),ATACADO,AC,,,,,,,,,,,"58,75","58,45"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),ATACADO,AC,"2,60","2,60","2,60","2,60","2,60","2,60","2,56","2,41","2,24","2,33","2,37","2,43"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),ATACADO,AC,"2,40","2,40","2,40","2,30","2,20","2,20","2,20","1,91","1,80","1,93","2,20","2,20"
BANANA NANICA (kg),ATACADO,AC,"2,40",,,,,,,,"2,65","2,65","2,65",
BANANA PRATA (kg),ATACADO,AC,"1,00",,,,,,,,"1,42","1,42","1,42",
BATATA INGLESA (kg),ATACADO,AC,"1,90",,,,,,,,"2,10","2,10","2,10",
BATATA-DOCE (kg),ATACADO,AC,"1,25",,,,,,,,"2,50","2,50","2,50",
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,AC,,,,,,,,,,,"44,57","43,05"
CARNE BOVINA DIANTEIRO COM OSSO (25 - 30 kg),ATACADO,AC,,,,,,,,,,"193,40","188,50","180,50"
CARNE DE FRANGO CONGELADO (20 kg),ATACADO,AC,,,,,,,,,,"88,00","84,00","92,00"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AC,,,,,,,,,,"115,52","111,00","121,50"
CEBOLA (kg),ATACADO,AC,"1,60",,,,,,,,"4,25","4,25","4,25",
FARINHA DE MANDIOCA SECO (A) (kg),ATACADO,AC,"3,80","3,80","3,80","3,59","3,00","3,00","3,60","3,26","2,80","2,43","2,39","2,45"
FEIJÃO COMUM CORES (kg),ATACADO,AC,"2,80","2,80","2,80","3,00","3,73","3,80","3,91","3,96","3,89","3,79","3,87","3,99"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AC,,,,,,,,,,,,"120,00"
LARANJA PERA (kg),ATACADO,AC,"1,25",,,,,,,,"0,75","0,75","0,75",
LEITE DE VACA EM PÓ INTEGRAL (l),ATACADO,AC,"15,00","15,00","15,00","15,80","17,22","17,50","17,80","18,00","16,91","15,63","15,70","15,46"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AC,,,,,,,,,,,"30,86","33,31"
LEITE DE VACA TIPO C (l),ATACADO,AC,"1,00","1,00","1,00","1,08","1,25","1,30","1,54","1,75","1,82","1,91","1,96","1,91"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (5 kg),ATACADO,AC,,,,,,,,,,,"19,60","19,30"
MAMÃO FORMOSA (kg),ATACADO,AC,"1,38",,,,,,,,"2,50","2,50","2,50",
MARACUJÁ AZEDO (kg),ATACADO,AC,"2,66",,,,,,,,"4,86","4,86","4,86",
MAÇÃ NACIONAL (kg),ATACADO,AC,"2,60",,,,,,,,"3,66","3,66","3,66",
MILHO EM GRÃOS (50 kg),ATACADO,AC,,,,,,,"30,33","30,50","29,90","30,50","32,50","33,00"
OLEO DE SOJA REFINADO (20 latas),ATACADO,AC,,,,,,,,,,,"60,93","65,15"
OVOS DE GALINHA GRANDE BRANCO (10 dz),ATACADO,AC,,,,,,,,,,"33,20","34,23","34,03"
PIMENTÃO VERDE (kg),ATACADO,AC,"4,70",,,,,,,,"3,40","3,40","3,40",
QUIABO (kg),ATACADO,AC,"1,32",,,,,,,,"2,00","2,00","2,00",
TOMATE (kg),ATACADO,AC,"3,61",,,,,,,,"2,77","2,77","2,77",
ABACAXI PÉROLA (t),PRODUTOR,AC,"2.500,00","2.500,00","2.500,00","2.650,00","3.110,40","3.000,00","2.955,00","2.822,50","2.729,63","2.098,50","1.592,50","1.179,88"
ARROZ EM CASCA (60 kg),PRODUTOR,AC,"48,61","48,61","48,61","50,68","56,38","56,52","56,52","50,80","54,60","54,99",,
AÇAÍ FRUTO (kg),PRODUTOR,AC,"1,30","1,30","1,30","1,35","1,49","1,50","1,49","1,66","1,88","1,91","2,12","1,93"
BANANA PRATA (20 kg),PRODUTOR,AC,"28,10","36,75","40,00","37,48","30,10","30,00","26,60","22,75","23,94","27,08","32,31","37,00"
BATATA-DOCE (kg),PRODUTOR,AC,,,,,,,,,,,"2,50","2,60"
BOI GORDO (15 kg),PRODUTOR,AC,,,,,,,,,,"123,10","121,25","117,00"
